Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
61,10.22,+0.6,Vladimir MURAVYOV,30 SEP 1959,URS,2,,Moskva (URS),17 AUG 1985,1132
61,10.22,-0.1,Steffen BRINGMANN,11 MAR 1964,GDR,2,,"Olympiastadion, Berlin (GER)",23 AUG 1985,1132
61,10.22,0.0,Chidi IMOH,27 AUG 1963,NGR,1,,Kobe (JPN),30 AUG 1985,1132
61,10.22,+1.4,Robson DA SILVA,04 SEP 1964,BRA,3,,San Juan (PUR),20 SEP 1985,1132
61,10.22,+1.9,Harvey GLANCE,28 MAR 1957,USA,2,,Tokyo (JPN),21 SEP 1985,1132
61,10.22,-0.4,Gerrard KEATING,03 DEC 1962,AUS,5,,"Bruce Stadium, Canberra (AUS)",05 OCT 1985,1134
72,10.23,+1.6,Lee MCNEILL,02 DEC 1964,USA,1f2,,"Athens, GA (USA)",23 MAR 1985,1128
72,10.23,,Sam GRADDY,10 FEB 1964,USA,1,,"Knoxville, TN (USA)",30 MAR 1985,1128
72,10.23,,Greg WALKER,05 AUG 1963,USA,1,,"Lafayette, LA (USA)",13 APR 1985,1128
72,10.23,+1.2,Greg MOORE,08 NOV 1959,USA,1h2,,"Raleigh, NC (USA)",19 APR 1985,1128
72,10.23,+1.6,Rod RICHARDSON,17 SEP 1962,USA,1,,"Waco, TX (USA)",20 APR 1985,1128
72,10.23,+1.8,Daron COUNCIL,26 DEC 1964,USA,1,,"Auburn, AL (USA)",04 MAY 1985,1128
72,10.23,+0.5,Andrew SMITH,29 JAN 1964,JAM,2h1,,"Fayetteville, AR (USA)",17 MAY 1985,1128
72,10.23,+1.9,Wallace SPEARMON,03 SEP 1962,USA,1h3,,"Fayetteville, AR (USA)",17 MAY 1985,1128
72,10.23,+0.8,Elliston STINSON,03 OCT 1962,USA,4,,"Fayetteville, AR (USA)",18 MAY 1985,1128
72,10.23,+1.1,Kirk BAPTISTE,20 JUN 1963,USA,1,,San José (USA),25 MAY 1985,1128
72,10.23,-0.2,Darwin COOK,16 JUL 1962,USA,1,,"Los Angeles, CA (USA)",08 JUN 1985,1129
72,10.23,+1.2,Terry SCOTT,23 JUN 1964,USA,1,,Rhede (GER),05 JUL 1985,1128
72,10.23,0.0,Vladimir KRAVTSOV,10 MAR 1956,URS,2,,Leningrad (URS),25 JUL 1985,1128
72,10.23,+1.7,Christian HAAS,22 AUG 1958,FRG,1sf2,,Stuttgart (GER),02 AUG 1985,1128
72,10.23,+0.9,Marian WORONIN,13 AUG 1956,POL,2,,Bydgoszcz (POL),20 AUG 1985,1128
72,10.23,+0.2,Steffen BRINGMANN,11 MAR 1964,GDR,1h2,,"Olympiastadion, Berlin (GER)",23 AUG 1985,1128
88,10.24,+0.9,Daron COUNCIL,26 DEC 1964,USA,2,,"Knoxville, TN (USA)",13 APR 1985,1125
88,10.24,+1.1,Harvey GLANCE,28 MAR 1957,USA,2,,San José (USA),25 MAY 1985,1125
88,10.24,-0.2,Calvin SMITH,08 JAN 1961,USA,2h3,,"Indianapolis, IN (USA)",15 JUN 1985,1126
88,10.24,-0.2,Darwin COOK,16 JUL 1962,USA,3h3,,"Indianapolis, IN (USA)",15 JUN 1985,1126
88,10.24,+1.4,Mike MORRIS,07 MAY 1963,USA,2,,"Baton Rouge, LA (USA)",28 JUL 1985,1125
88,10.24,+1.4,Viktor BRYZGIN,22 AUG 1962,URS,1h3,,Sofia (BUL),14 AUG 1985,1125
88,10.24,+0.6,Frank EMMELMANN,15 SEP 1961,GDR,3,,Moskva (URS),17 AUG 1985,1125
88,10.24,-1.0,Carl LEWIS,01 JUL 1961,USA,1,,Bruxelles (BEL),30 AUG 1985,1131
96,10.25,-0.6,Andres SIMÓN,15 SEP 1961,CUB,1h1,,La Habana (CUB),19 MAR 1985,1125
96,10.25,,Henry THOMAS,10 JUL 1967,USA,1,,"Los Angeles, CA (USA)",30 MAR 1985,1122
96,10.25,+0.2,Osvaldo LARA,13 JUL 1955,CUB,2,,La Habana (CUB),30 MAR 1985,1122
96,10.25,0.0,Sam GRADDY,10 FEB 1964,USA,2,,"Knoxville, TN (USA)",11 MAY 1985,1122
96,10.25,+2.0,Daron COUNCIL,26 DEC 1964,USA,2,,"Starkville, MS (USA)",18 MAY 1985,1122
96,10.25,-0.1,Darwin COOK,16 JUL 1962,USA,7,,"Indianapolis, IN (USA)",15 JUN 1985,1122
96,10.25,+0.7,František PTÁČNÍK,27 FEB 1962,TCH,2,,Fürth (GER),17 JUN 1985,1122
96,10.25,+0.8,Desai WILLIAMS,12 JUN 1959,CAN,2,,Lausanne (SUI),10 JUL 1985,1122
96,10.25,+0.9,István TATÁR,24 MAR 1958,HUN,3,,Bydgoszcz (POL),20 AUG 1985,1122
96,10.25,+1.4,Leandro PENALVER,23 MAY 1961,CUB,4,,San Juan (PUR),20 SEP 1985,1122
96,10.25,+1.9,Nikolay YUSHMANOV,18 DEC 1961,URS,3,,Tokyo (JPN),21 SEP 1985,1122
107,10.26,+1.5,Jerry LACY,23 DEC 1962,USA,1,,"Monroe, LA (USA)",28 APR 1985,1118
107,10.26,+1.9,Jason LEACH,11 MAR 1966,USA,2h3,,"Fayetteville, AR (USA)",17 MAY 1985,1118
107,10.26,0.0,Gennadiy MIRZOYAN,11 OCT 1964,URS,3,,Leningrad (URS),25 JUL 1985,1118
107,10.26,0.0,Anatoliy KALINICHEV,24 FEB 1961,URS,4,,Leningrad (URS),25 JUL 1985,1118
111,10.27,+0.4,Mel LATTANY,10 AUG 1959,USA,1,,"Dallas, TX (USA)",13 APR 1985,1115
111,10.27,+1.0,Rex BROBBY,21 FEB 1958,GHA,1f1,,"Walnut, CA (USA)",27 APR 1985,1115
111,10.27,+1.9,Desmond ROSS,30 DEC 1961,USA,2,,"Manhattan, KS (USA)",11 MAY 1985,1115
111,10.27,+0.7,Thomas SCHRÖDER,23 AUG 1962,GDR,1,,Neubrandenburg (GDR),07 JUN 1985,1115
111,10.27,+1.4,Floyd HEARD,24 MAR 1966,USA,1,,"Sacramento, CA (USA)",08 JUN 1985,1115
111,10.27,+1.4,Lee MCRAE,23 JAN 1966,USA,4,,"Baton Rouge, LA (USA)",28 JUL 1985,1115
111,10.27,-1.1,Attila KOVÁCS,02 SEP 1960,HUN,1,,Budapest (HUN),29 JUL 1985,1121
111,10.27,-0.4,Nikolay YUSHMANOV,18 DEC 1961,URS,6,,"Bruce Stadium, Canberra (AUS)",04 OCT 1985,1117
119,10.28,+1.0,Peter NGOBENI,23 MAY 1962,RSA,1,,Potchefstroom (RSA),01 MAR 1985,1112
119,10.28,+1.8,David JACKSON,02 JAN 1966,PUR,1h4,,"Cape Girardeau, MO (USA)",05 APR 1985,1112
119,10.28,+1.3,Keith STUBBLEFIELD,11 FEB 1965,USA,1,,"San Angelo, TX (USA)",11 APR 1985,1112
119,10.28,+1.3,Keith STUBBLEFIELD,11 FEB 1965,USA,1,,"San Angelo, TX (USA)",11 APR 1985,1112
119,10.28,+0.2,Thomas JEFFERSON,08 JUN 1962,USA,1,,"Atlanta, GA (USA)",21 APR 1985,1112
119,10.28,,Calvin LONG,02 JUL 1966,USA,1h1,,"Odessa, TX (USA)",16 MAY 1985,1112
119,10.28,+1.0,Sergio QUEROT,18 NOV 1965,CUB,1,,Beograd (SRB),03 JUL 1985,1112
119,10.28,+1.7,Gerhard SEWALD,01 MAY 1961,FRG,1sf1,,Stuttgart (GER),02 AUG 1985,1112
119,10.28,+1.8,Ernest OBENG,08 APR 1956,GHA,3h1,,"Letzigrund, Zürich (SUI)",21 AUG 1985,1112
119,10.28,+0.8,Zheng CHEN,04 JAN 1965,CHN,1,,Jakarta (INA),26 SEP 1985,1112
129,10.29,0.0,Antonio MANNING,23 JUN 1965,USA,2,,"Westwood, CA (USA)",04 MAY 1985,1108
129,10.29,+2.0,Lorenzo DANIEL,23 MAR 1966,USA,3,,"Starkville, MS (USA)",18 MAY 1985,1108
129,10.29,+0.4,Fritz-Werner HEER,09 MAY 1959,FRG,2,,Stuttgart (GER),02 AUG 1985,1108
132,10.30,+1.8,Keith STANFORD,01 MAR 1964,USA,1h2,,"Houston, TX (USA)",03 MAY 1985,1105
132,10.30,,Kelly REED,21 SEP 1965,USA,2h1,,"Odessa, TX (USA)",16 MAY 1985,1105
132,10.30,+0.3,Valentin ATANASOV,07 MAY 1961,BUL,1,,Sofia (BUL),18 MAY 1985,1105
132,10.30,+1.1,Osvaldo LARA,13 JUL 1955,CUB,2,,Nassau (BAH),25 JUL 1985,1105
132,10.30,+1.4,Tony SHARPE,28 JUN 1961,CAN,5,,San Juan (PUR),20 SEP 1985,1105
